region;component;tree_type;Rhtkg_2011;Rhtkg_2016;Rhtkg_2021;Rhtkg_2026;Rhtkg_2031;Rhtkg_2041;Rhtkg_2051;Rhtkg_2061;Mtkg_2011;Mtkg_2016;Mtkg_2021;Mtkg_2026;Mtkg_2031;Mtkg_2041;Mtkg_2051;Mtkg_2061;Ptkg_2011;Ptkg_2016;Ptkg_2021;Ptkg_2026;Ptkg_2031;Ptkg_2041;Ptkg_2051;Ptkg_2061;Vatkg_2011;Vatkg_2016;Vatkg_2021;Vatkg_2026;Vatkg_2031;Vatkg_2041;Vatkg_2051;Vatkg_2061;Jatkg_2011;Jatkg_2016;Jatkg_2021;Jatkg_2026;Jatkg_2031;Jatkg_2041;Jatkg_2051;Jatkg_2061
north;2;spruce;1.289065958;1.682160248;2.050464807;2.250996016;2.535192563;3.400619743;4.18061089;5.340416113;1.336220169;1.590839107;1.715357968;1.743456505;1.838722094;2.048498845;2.345842956;2.766166282;0.298548371;0.360166481;0.417724089;0.475586235;0.522891077;0.56583088;0.583189524;0.559232565;0.04703974;0.058191403;0.070559611;0.085563666;0.093876723;0.116180049;0.135036496;0.111922141;0.038709677;0.038709677;0.038709677;0.038709677;0.038709677;0.038709677;0.038709677;0.038709677
north;2;deciduous;3.723328907;3.940239044;4.439132359;4.466135458;4.469676848;4.433377601;4.725984949;5.366533865;2.354118553;2.52482679;2.703040801;2.809083911;2.826212471;2.917244034;3.209199384;3.653002309;0.939701553;1.05400467;1.180895341;1.262206883;1.359049843;1.423814841;1.510303522;1.664095016;0.261557178;0.311841038;0.384225466;0.453974047;0.511151663;0.635644769;0.789943228;0.769870235;0.212903226;0.251612903;0.283870968;0.316129032;0.335483871;0.341935484;0.367741935;0.387096774
north;3;pine;1.637007525;1.64231961;1.638335547;1.403718459;1.13457282;0.752545374;0.445772466;0.408145197;3.421670516;3.730369515;3.894726713;3.701308699;3.370092379;2.781562741;1.994226328;1.749230177;4.795046188;5.243934626;5.578519947;5.69586844;5.661658715;5.11805908;4.245254289;3.377220587;4.036901865;4.54703974;5.101175994;5.614355231;5.79541768;6.092457421;5.957420925;4.625506894;1.980645161;2.290322581;2.64516129;3;3.348387097;4.090322581;4.896774194;5.374193548
north;3;spruce;3.19831784;4.09915892;4.927844179;5.316511731;5.89021691;7.558654272;8.969898185;11.24479858;3.124711316;3.678406467;3.923979985;3.949961509;4.12952271;4.5;5.052540416;5.836605081;0.800832403;0.956857172;1.105979088;1.251954116;1.368693534;1.458024566;1.475078672;1.391026292;0.128953771;0.156326034;0.187145174;0.224249797;0.245539335;0.29947283;0.341443633;0.28163017;0.109677419;0.109677419;0.109677419;0.109677419;0.109677419;0.109677419;0.109677419;0.109677419
north;3;deciduous;5.550243471;5.813634351;6.491367862;6.489154493;6.454625941;6.392651616;6.896857016;7.855688358;3.447267129;3.667051578;3.861624326;3.994803695;3.97382602;4.078906851;4.473441109;5.151462664;1.396304944;1.552837275;1.729063039;1.85554766;1.995228911;2.07004365;2.14404629;2.351842453;0.387064071;0.462895377;0.574614761;0.686942417;0.78811841;1.001419303;1.237429035;1.167274939;0.367741935;0.412903226;0.458064516;0.509677419;0.541935484;0.548387097;0.574193548;0.580645161
north;4;pine;0.576361222;0.565737052;0.548915449;0.460380699;0.370960602;0.242142541;0.144754316;0.125719345;1.338337182;1.413010008;1.438029253;1.344880677;1.214203233;0.998460354;0.723441109;0.62047729;2.079281291;2.234696985;2.33813826;2.360166481;2.326058268;2.075931378;1.703278855;1.289919805;1.851987024;2.058596918;2.27757502;2.472627737;2.53000811;2.623479319;2.568734793;1.982562855;0.980645161;1.135483871;1.309677419;1.470967742;1.619354839;1.935483871;2.277419355;2.470967742
north;4;spruce;2.321823816;2.938911023;3.513058876;3.806551571;4.208499336;5.343072156;6.256750775;7.536520584;2.344495766;2.727290223;2.903772132;2.928406467;3.051578137;3.331986143;3.703233256;4.18591224;0.630291341;0.744086895;0.849964471;0.953101208;1.032179474;1.088924982;1.09004162;1.009237641;0.104825629;0.125709651;0.149026764;0.176804542;0.191808597;0.230129765;0.259935118;0.212084347;0.083870968;0.083870968;0.083870968;0.083870968;0.083870968;0.083870968;0.083870968;0.083870968
north;4;deciduous;1.108455069;1.178840195;1.327135901;1.331562638;1.322709163;1.270473661;1.317397078;1.424081452;0.672055427;0.727097768;0.777713626;0.809853734;0.813510393;0.828906851;0.887028483;0.98421863;0.253882855;0.292356106;0.333773221;0.363516394;0.397218556;0.417115014;0.43457517;0.472946909;0.063260341;0.079886456;0.102392539;0.125506894;0.146188159;0.185117599;0.229318735;0.219383617;0.051612903;0.058064516;0.064516129;0.070967742;0.077419355;0.077419355;0.077419355;0.077419355
north;5;pine;0.318282426;0.318282426;0.317397078;0.27268703;0.220008853;0.144754316;0.08853475;0.079238601;0.714588145;0.771939954;0.804080062;0.76712856;0.703618168;0.586220169;0.427251732;0.372786759;1.057963659;1.149832504;1.221094305;1.249213278;1.246269414;1.133895036;0.947924069;0.743680845;0.885847526;0.992295215;1.110705596;1.21999189;1.259124088;1.333130576;1.325425791;1.026966748;0.451612903;0.522580645;0.6;0.677419355;0.748387097;0.903225806;1.083870968;1.187096774
north;5;spruce;0.580787959;0.738822488;0.88667552;0.966356795;1.07436919;1.3895529;1.655157149;2.023019035;0.600654349;0.700153965;0.748267898;0.756543495;0.790030793;0.869515012;0.974788299;1.114318707;0.150746117;0.177240889;0.201400873;0.225357832;0.243630088;0.257943356;0.259770582;0.242310425;0.02514193;0.030210868;0.035888078;0.042376318;0.045823195;0.054947283;0.062246553;0.050689376;0.019354839;0.019354839;0.019354839;0.019354839;0.019354839;0.019354839;0.019354839;0.019354839
north;5;deciduous;0.294820717;0.314298362;0.355909695;0.35768039;0.359451085;0.355024347;0.383355467;0.424966799;0.171862972;0.185142417;0.197459584;0.206505004;0.207274827;0.213240955;0.234603541;0.268668206;0.066693737;0.074713227;0.083747843;0.090346158;0.097858085;0.102730687;0.108415389;0.120089331;0.018045418;0.021289538;0.026561233;0.031832928;0.036293593;0.045823195;0.056974858;0.054541768;0.012903226;0.019354839;0.019354839;0.019354839;0.025806452;0.025806452;0.025806452;0.025806452
north;6;pine;0.639663568;0.648074369;0.652501107;0.566622399;0.458610004;0.305002213;0.183266932;0.168658699;1.381832179;1.516551193;1.598344881;1.534834488;1.412817552;1.181100847;0.859892225;0.758852964;1.941731804;2.139884276;2.296213582;2.364023957;2.368693534;2.173586438;1.828443813;1.459851792;1.538321168;1.746553122;1.97972425;2.198094079;2.283049473;2.437347932;2.425182482;1.878142741;0.722580645;0.838709677;0.974193548;1.116129032;1.251612903;1.541935484;1.877419355;2.070967742
north;6;spruce;1.059760956;1.371403276;1.661797255;1.802567508;2.013280212;2.655599823;3.227976981;4.207613988;1.043879908;1.236335643;1.325442648;1.33756736;1.405504234;1.545034642;1.7617398;2.085257891;0.2421074;0.287381992;0.330727845;0.374479748;0.410618211;0.441681048;0.452948939;0.43538727;0.03892944;0.046836983;0.055961071;0.066909976;0.073195458;0.090024331;0.103609084;0.085766423;0.025806452;0.025806452;0.025806452;0.025806452;0.025806452;0.025806452;0.025806452;0.025806452
north;6;deciduous;2.359008411;2.439575033;2.713590084;2.715360779;2.70960602;2.675962815;2.853032315;3.211598052;1.499037721;1.571593533;1.663010008;1.724403387;1.728637413;1.777136259;1.929176289;2.168976135;0.636889656;0.687950462;0.760430413;0.813622982;0.87513958;0.915440057;0.948736169;1.018170744;0.188767234;0.212084347;0.257907543;0.304541768;0.342660178;0.422343877;0.51297648;0.487226277;0.167741935;0.187096774;0.212903226;0.238709677;0.24516129;0.258064516;0.277419355;0.283870968
north;7;pine;1.888446215;1.937583001;1.981407703;1.743249225;1.407702523;0.938468349;0.573262506;0.535192563;3.915319477;4.370284834;4.674942263;4.541185527;4.213818322;3.547151655;2.588144727;2.31408776;5.23368186;5.82194701;6.309917775;6.546137448;6.601664806;6.127195209;5.207796163;4.274794437;3.981143552;4.5486618;5.196877534;5.813463098;6.069140308;6.548459043;6.546431468;5.098945661;1.8;2.096774194;2.438709677;2.793548387;3.148387097;3.935483871;4.819354839;5.341935484
north;7;spruce;4.345728198;5.539619301;6.652501107;7.196989819;7.992031873;10.37361664;12.43824701;15.74413457;4.336989992;5.073325635;5.411855273;5.450923788;5.699384142;6.244803695;7.045419554;8.18591224;1.084762968;1.271647548;1.446858187;1.622677901;1.762460664;1.872906304;1.897066288;1.79311745;0.180048662;0.214111922;0.25243309;0.298864558;0.324006488;0.391524736;0.444849959;0.364760746;0.129032258;0.129032258;0.129032258;0.129032258;0.129032258;0.129032258;0.129032258;0.129032258
north;7;deciduous;7.334218681;7.548030102;8.341301461;8.277999115;8.185922975;7.917220009;8.216910137;9.009738822;4.724210931;4.953810624;5.257890685;5.399345651;5.389530408;5.449769053;5.835257891;6.406851424;2.019185869;2.191249619;2.419145264;2.560044666;2.7238859;2.816262308;2.941021216;3.141406964;0.605433901;0.672141119;0.808394161;0.941808597;1.03811841;1.249594485;1.5243309;1.476885645;0.477419355;0.541935484;0.625806452;0.696774194;0.722580645;0.748387097;0.819354839;0.883870968
