maakunta;tkg;species;component;year;bm;ala
1;1;3;5;2020;0.3442971113;NA
1;1;3;5;2021;0.3442971113;NA
1;1;3;6;2015;3.3471079675;NA
1;1;3;6;2016;3.3471079675;153.51512936
1;1;3;6;2017;3.3471079675;NA
1;1;3;6;2018;3.3471079675;NA
1;1;3;6;2019;3.3471079675;NA
1;1;3;6;2020;3.3471079675;NA
1;1;3;6;2021;3.3471079675;NA
1;1;3;7;2015;11.469174383;NA
1;1;3;7;2016;11.469174383;153.51512936
1;1;3;7;2017;11.469174383;NA
1;1;3;7;2018;11.469174383;NA
1;1;3;7;2019;11.469174383;NA
1;1;3;7;2020;11.469174383;NA
1;1;3;7;2021;11.469174383;NA
1;2;1;1;2015;19.2397419189355;NA
1;2;1;1;2016;19.2397419189355;84.6444378812969
1;2;1;1;2017;19.2397419189355;NA
1;2;1;1;2018;19.2397419189355;NA
1;2;1;1;2019;19.2397419189355;NA
1;2;1;1;2020;19.2397419189355;NA
1;2;1;1;2021;19.2397419189355;NA
1;2;1;2;2015;1.37912249370957;NA
1;2;1;2;2016;1.37912249370957;84.6444378812969
1;2;1;2;2017;1.37912249370957;NA
1;2;1;2;2018;1.37912249370957;NA
1;2;1;2;2019;1.37912249370957;NA
1;2;1;2;2020;1.37912249370957;NA
1;2;1;2;2021;1.37912249370957;NA
1;2;1;3;2015;3.0393608409683;NA
1;2;1;3;2016;3.0393608409683;84.6444378812969
1;2;1;3;2017;3.0393608409683;NA
1;2;1;3;2018;3.0393608409683;NA
1;2;1;3;2019;3.0393608409683;NA
1;2;1;3;2020;3.0393608409683;NA
1;2;1;3;2021;3.0393608409683;NA
1;2;1;4;2015;1.05029783156512;NA
1;2;1;4;2016;1.05029783156512;84.6444378812969
1;2;1;4;2017;1.05029783156512;NA
1;2;1;4;2018;1.05029783156512;NA
1;2;1;4;2019;1.05029783156512;NA
1;2;1;4;2020;1.05029783156512;NA
1;2;1;4;2021;1.05029783156512;NA
1;2;1;5;2015;0.85365304042267;NA
1;2;1;5;2016;0.85365304042267;84.6444378812969
1;2;1;5;2017;0.85365304042267;NA
1;2;1;5;2018;0.85365304042267;NA
1;2;1;5;2019;0.85365304042267;NA
1;2;1;5;2020;0.85365304042267;NA
1;2;1;5;2021;0.85365304042267;NA
1;2;1;6;2015;1.65242912067665;NA
