maakunta;peat_type;year;roll_T
1;1;1990;11.8697222222222
1;1;1991;11.8458620689655
1;1;1992;11.8836590038314
1;1;1993;11.8089846743295
1;1;1994;11.809683908046
1;1;1995;11.8569636015326
1;1;1996;11.8482662835249
1;1;1997;11.8385632183908
1;1;1998;11.8497892720307
1;1;1999;11.8811973180077
1;1;2000;11.8895593869732
1;1;2001;11.9392049808429
1;1;2002;11.9309674329502
1;1;2003;11.9415229885057
1;1;2004;11.9588697318008
1;1;2005;11.9624521072797
1;1;2006;12.0748850574713
1;1;2007;12.1336685823755
1;1;2008;12.1776245210728
1;1;2009;12.1939367816092
1;1;2010;12.2436877394636
1;1;2011;12.3115134099617
1;1;2012;12.3412068965517
1;1;2013;12.376245210728
1;1;2014;12.3991570881226
1;1;2015;12.4040804597701
1;1;2016;12.4434482758621
1;1;2017;12.4709003831418
1;1;2018;12.5086015325671
1;1;2019;12.5114559386973
1;1;2020;12.5646551724138
1;1;2021;12.6286302681992
1;2;1990;11.7519642857143
1;2;1991;11.7260317460317
1;2;1992;11.7668551587302
1;2;1993;11.6974603174603
1;2;1994;11.699871031746
1;2;1995;11.7444146825397
1;2;1996;11.7355555555556
1;2;1997;11.7330952380952
1;2;1998;11.744871031746
1;2;1999;11.7736805555556
1;2;2000;11.7839384920635
1;2;2001;11.8363293650794
1;2;2002;11.8333234126984
1;2;2003;11.8446031746032
1;2;2004;11.8623214285714
1;2;2005;11.8658035714286
1;2;2006;11.976001984127
1;2;2007;12.036001984127
1;2;2008;12.0816765873016
1;2;2009;12.0994146825397
1;2;2010;12.1432738095238
1;2;2011;12.2094246031746
1;2;2012;12.2344246031746
1;2;2013;12.2679761904762
1;2;2014;12.2910317460317
1;2;2015;12.2956150793651
1;2;2016;12.336994047619
1;2;2017;12.3693253968254
1;2;2018;12.4122817460317
1;2;2019;12.418373015873
1;2;2020;12.4727777777778
1;2;2021;12.5397321428571
1;4;1990;11.6446360153257
1;4;1991;11.6199042145594
1;4;1992;11.6589846743295
1;4;1993;11.5810344827586
1;4;1994;11.5791570881226
1;4;1995;11.626724137931
1;4;1996;11.6157279693487
1;4;1997;11.6037931034483
1;4;1998;11.6143295019157
1;4;1999;11.6425478927203
1;4;2000;11.6500574712644
1;4;2001;11.6970498084291
1;4;2002;11.687183908046
1;4;2003;11.6994061302682
1;4;2004;11.7169540229885
1;4;2005;11.7205555555556
1;4;2006;11.8356130268199
1;4;2007;11.8942720306513
1;4;2008;11.9353639846743
1;4;2009;11.9491954022988
1;4;2010;11.9989846743295
1;4;2011;12.0669731800766
1;4;2012;12.0956513409962
1;4;2013;12.1307662835249
1;4;2014;12.1540421455939
1;4;2015;12.1565134099617
1;4;2016;12.196245210728
1;4;2017;12.2249233716475
1;4;2018;12.2652490421456
1;4;2019;12.2704214559387
1;4;2020;12.3264367816092
1;4;2021;12.3955747126437
1;6;1990;11.7311695906433
1;6;1991;11.7083918128655
1;6;1992;11.7454385964912
1;6;1993;11.664649122807
1;6;1994;11.6614619883041
1;6;1995;11.710701754386
1;6;1996;11.6988888888889
1;6;1997;11.6868128654971
1;6;1998;11.6980701754386
1;6;1999;11.7304385964912
1;6;2000;11.7391520467836
1;6;2001;11.7889766081871
1;6;2002;11.780701754386
1;6;2003;11.7958187134503
1;6;2004;11.8147660818713
1;6;2005;11.8204385964912
1;6;2006;11.9391812865497
1;6;2007;11.9998538011696
1;6;2008;12.0437426900585
1;6;2009;12.0592105263158
1;6;2010;12.1147368421053
1;6;2011;12.1852923976608
1;6;2012;12.217865497076
1;6;2013;12.2552923976608
1;6;2014;12.2783625730994
1;6;2015;12.2827777777778
1;6;2016;12.3210526315789
1;6;2017;12.3442397660819
1;6;2018;12.379649122807
1;6;2019;12.380730994152
1;6;2020;12.4334795321637
1;6;2021;12.498216374269
2;1;1990;11.6964030131827
2;1;1991;11.6652730696799
2;1;1992;11.7039924670433
2;1;1993;11.6321374764595
2;1;1994;11.631384180791
2;1;1995;11.6720056497175
2;1;1996;11.6618644067797
2;1;1997;11.6698964218456
2;1;1998;11.6775235404896
2;1;1999;11.6978907721281
2;1;2000;11.7019397363465
2;1;2001;11.7486723163842
2;1;2002;11.7506308851224
2;1;2003;11.7706685499058
2;1;2004;11.7901600753296
2;1;2005;11.7959133709981
2;1;2006;11.9053107344633
2;1;2007;11.9693126177024
2;1;2008;12.0116572504708
2;1;2009;12.0307438794727
2;1;2010;12.0663465160075
2;1;2011;12.1356026365348
2;1;2012;12.1602919020716
2;1;2013;12.1980037664783
2;1;2014;12.2271751412429
2;1;2015;12.2349246704331
2;1;2016;12.2779943502825
2;1;2017;12.3166195856874
2;1;2018;12.3674387947269
2;1;2019;12.3786534839925
2;1;2020;12.4354990583804
2;1;2021;12.506581920904
2;2;1990;11.728699845679
2;2;1991;11.6967013888889
2;2;1992;11.7361689814815
2;2;1993;11.6637268518519
2;2;1994;11.6634529320988
2;2;1995;11.7055594135802
2;2;1996;11.6958603395062
2;2;1997;11.703074845679
2;2;1998;11.7117631172839
2;2;1999;11.7315084876543
2;2;2000;11.7345756172839
2;2;2001;11.7816435185185
2;2;2002;11.7824884259259
2;2;2003;11.8045524691358
2;2;2004;11.8244212962963
2;2;2005;11.8294945987654
2;2;2006;11.9393711419753
2;2;2007;12.0013078703704
2;2;2008;12.0424112654321
2;2;2009;12.058024691358
2;2;2010;12.0924807098765
2;2;2011;12.1581674382716
2;2;2012;12.1803858024691
2;2;2013;12.2162808641975
2;2;2014;12.2428163580247
2;2;2015;12.2446913580247
2;2;2016;12.2841666666667
