maakunta;peat_type;tree_type;year;basal_area
2;6;spruce;2020;0.4301456749
2;6;spruce;2021;0.4301456749
2;6;deciduous;2015;0.7873563442
2;6;deciduous;2016;0.7873563442
2;6;deciduous;2017;0.7873563442
2;6;deciduous;2018;0.7873563442
2;6;deciduous;2019;0.7873563442
2;6;deciduous;2020;0.7873563442
2;6;deciduous;2021;0.7873563442
2;7;pine;2015;9.7316221099
2;7;pine;2016;9.7316221099
2;7;pine;2017;9.7316221099
2;7;pine;2018;9.7316221099
2;7;pine;2019;9.7316221099
2;7;pine;2020;9.7316221099
2;7;pine;2021;9.7316221099
2;7;spruce;2015;0
2;7;spruce;2016;0
2;7;spruce;2017;0
2;7;spruce;2018;0
2;7;spruce;2019;0
2;7;spruce;2020;0
2;7;spruce;2021;0
2;7;deciduous;2015;0.1434577402
2;7;deciduous;2016;0.1434577402
2;7;deciduous;2017;0.1434577402
2;7;deciduous;2018;0.1434577402
2;7;deciduous;2019;0.1434577402
2;7;deciduous;2020;0.1434577402
2;7;deciduous;2021;0.1434577402
4;1;pine;2015;2.8889928222
4;1;pine;2016;2.8889928222
4;1;pine;2017;2.8889928222
4;1;pine;2018;2.8889928222
4;1;pine;2019;2.8889928222
4;1;pine;2020;2.8889928222
4;1;pine;2021;2.8889928222
4;1;spruce;2015;11.735217642
4;1;spruce;2016;11.735217642
4;1;spruce;2017;11.735217642
4;1;spruce;2018;11.735217642
4;1;spruce;2019;11.735217642
4;1;spruce;2020;11.735217642
4;1;spruce;2021;11.735217642
4;1;deciduous;2015;6.6701780223
4;1;deciduous;2016;6.6701780223
4;1;deciduous;2017;6.6701780223
4;1;deciduous;2018;6.6701780223
4;1;deciduous;2019;6.6701780223
4;1;deciduous;2020;6.6701780223
4;1;deciduous;2021;6.6701780223
4;2;pine;2015;6.71764804186656
4;2;pine;2016;6.71764804186656
4;2;pine;2017;6.71764804186656
4;2;pine;2018;6.71764804186656
4;2;pine;2019;6.71764804186656
4;2;pine;2020;6.71764804186656
4;2;pine;2021;6.71764804186656
4;2;spruce;2015;9.46347068338719
4;2;spruce;2016;9.46347068338719
4;2;spruce;2017;9.46347068338719
4;2;spruce;2018;9.46347068338719
4;2;spruce;2019;9.46347068338719
4;2;spruce;2020;9.46347068338719
4;2;spruce;2021;9.46347068338719
4;2;deciduous;2015;4.91997271876494
4;2;deciduous;2016;4.91997271876494
4;2;deciduous;2017;4.91997271876494
4;2;deciduous;2018;4.91997271876494
4;2;deciduous;2019;4.91997271876494
4;2;deciduous;2020;4.91997271876494
4;2;deciduous;2021;4.91997271876494
4;4;pine;2015;13.247616759523
4;4;pine;2016;13.247616759523
4;4;pine;2017;13.247616759523
4;4;pine;2018;13.247616759523
4;4;pine;2019;13.247616759523
4;4;pine;2020;13.247616759523
4;4;pine;2021;13.247616759523
4;4;spruce;2015;1.05755176469923
4;4;spruce;2016;1.05755176469923
4;4;spruce;2017;1.05755176469923
4;4;spruce;2018;1.05755176469923
4;4;spruce;2019;1.05755176469923
4;4;spruce;2020;1.05755176469923
4;4;spruce;2021;1.05755176469923
4;4;deciduous;2015;2.87247768842896
4;4;deciduous;2016;2.87247768842896
4;4;deciduous;2017;2.87247768842896
4;4;deciduous;2018;2.87247768842896
4;4;deciduous;2019;2.87247768842896
4;4;deciduous;2020;2.87247768842896
4;4;deciduous;2021;2.87247768842896
4;6;pine;2015;13.545802974
4;6;pine;2016;13.545802974
4;6;pine;2017;13.545802974
4;6;pine;2018;13.545802974
4;6;pine;2019;13.545802974
4;6;pine;2020;13.545802974
4;6;pine;2021;13.545802974
4;6;spruce;2015;0.1053968196
4;6;spruce;2016;0.1053968196
4;6;spruce;2017;0.1053968196
4;6;spruce;2018;0.1053968196
4;6;spruce;2019;0.1053968196
4;6;spruce;2020;0.1053968196
4;6;spruce;2021;0.1053968196
4;6;deciduous;2015;1.3034391123
4;6;deciduous;2016;1.3034391123
4;6;deciduous;2017;1.3034391123
4;6;deciduous;2018;1.3034391123
4;6;deciduous;2019;1.3034391123
4;6;deciduous;2020;1.3034391123
4;6;deciduous;2021;1.3034391123
4;7;pine;2015;10.306438343
4;7;pine;2016;10.306438343
4;7;pine;2017;10.306438343
4;7;pine;2018;10.306438343
4;7;pine;2019;10.306438343
4;7;pine;2020;10.306438343
4;7;pine;2021;10.306438343
4;7;spruce;2015;0
4;7;spruce;2016;0
4;7;spruce;2017;0
4;7;spruce;2018;0
4;7;spruce;2019;0
4;7;spruce;2020;0
4;7;spruce;2021;0
4;7;deciduous;2015;2.4116831048
4;7;deciduous;2016;2.4116831048
4;7;deciduous;2017;2.4116831048
4;7;deciduous;2018;2.4116831048
4;7;deciduous;2019;2.4116831048
4;7;deciduous;2020;2.4116831048
4;7;deciduous;2021;2.4116831048
5;1;pine;2015;1.7035651939
