maakunta;peat_type;year;basal_area
17;2;2015;19.0221882757797
17;2;2016;19.0221882757797
17;2;2017;19.0221882757797
17;2;2018;19.0221882757797
17;2;2019;19.0221882757797
17;2;2020;19.0221882757797
17;2;2021;19.0221882757797
17;4;2015;13.6982789139253
17;4;2016;13.6982789139253
17;4;2017;13.6982789139253
17;4;2018;13.6982789139253
17;4;2019;13.6982789139253
17;4;2020;13.6982789139253
17;4;2021;13.6982789139253
17;6;2015;9.8549070098
17;6;2016;9.8549070098
17;6;2017;9.8549070098
17;6;2018;9.8549070098
17;6;2019;9.8549070098
17;6;2020;9.8549070098
17;6;2021;9.8549070098
17;7;2015;5.9177582693
17;7;2016;5.9177582693
17;7;2017;5.9177582693
17;7;2018;5.9177582693
17;7;2019;5.9177582693
17;7;2020;5.9177582693
17;7;2021;5.9177582693
18;1;2015;19.5535235833
18;1;2016;19.5535235833
18;1;2017;19.5535235833
18;1;2018;19.5535235833
18;1;2019;19.5535235833
18;1;2020;19.5535235833
18;1;2021;19.5535235833
18;2;2015;18.820567316703
18;2;2016;18.820567316703
18;2;2017;18.820567316703
18;2;2018;18.820567316703
18;2;2019;18.820567316703
18;2;2020;18.820567316703
18;2;2021;18.820567316703
18;4;2015;14.6610145808934
18;4;2016;14.6610145808934
18;4;2017;14.6610145808934
18;4;2018;14.6610145808934
18;4;2019;14.6610145808934
18;4;2020;14.6610145808934
18;4;2021;14.6610145808934
18;6;2015;11.2196870871
18;6;2016;11.2196870871
18;6;2017;11.2196870871
18;6;2018;11.2196870871
18;6;2019;11.2196870871
18;6;2020;11.2196870871
18;6;2021;11.2196870871
18;7;2015;4.8923310713
18;7;2016;4.8923310713
18;7;2017;4.8923310713
18;7;2018;4.8923310713
18;7;2019;4.8923310713
18;7;2020;4.8923310713
18;7;2021;4.8923310713
19;1;2015;15.7341235594
19;1;2016;15.7341235594
19;1;2017;15.7341235594
19;1;2018;15.7341235594
19;1;2019;15.7341235594
19;1;2020;15.7341235594
19;1;2021;15.7341235594
19;2;2015;20.0133805687852
19;2;2016;20.0133805687852
19;2;2017;20.0133805687852
19;2;2018;20.0133805687852
19;2;2019;20.0133805687852
19;2;2020;20.0133805687852
19;2;2021;20.0133805687852
19;4;2015;14.3657933190258
19;4;2016;14.3657933190258
19;4;2017;14.3657933190258
19;4;2018;14.3657933190258
19;4;2019;14.3657933190258
19;4;2020;14.3657933190258
19;4;2021;14.3657933190258
19;6;2015;8.831527079
19;6;2016;8.831527079
19;6;2017;8.831527079
19;6;2018;8.831527079
19;6;2019;8.831527079
19;6;2020;8.831527079
19;6;2021;8.831527079
19;7;2015;3.3067894947
19;7;2016;3.3067894947
19;7;2017;3.3067894947
19;7;2018;3.3067894947
19;7;2019;3.3067894947
19;7;2020;3.3067894947
19;7;2021;3.3067894947
21;1;2015;35.8501046733
21;1;2016;35.8501046733
21;1;2017;35.8501046733
21;1;2018;35.8501046733
21;1;2019;35.8501046733
21;1;2020;35.8501046733
21;1;2021;35.8501046733
21;2;2015;25.3967075936007
21;2;2016;25.3967075936007
21;2;2017;25.3967075936007
21;2;2018;25.3967075936007
21;2;2019;25.3967075936007
21;2;2020;25.3967075936007
21;2;2021;25.3967075936007
21;4;2015;14.9433105139013
21;4;2016;14.9433105139013
21;4;2017;14.9433105139013
21;4;2018;14.9433105139013
21;4;2019;14.9433105139013
21;4;2020;14.9433105139013
21;4;2021;14.9433105139013
21;6;2015;17.0033257184
21;6;2016;17.0033257184
21;6;2017;17.0033257184
21;6;2018;17.0033257184
21;6;2019;17.0033257184
21;6;2020;17.0033257184
21;6;2021;17.0033257184
21;7;2015;0
21;7;2016;0
21;7;2017;0
21;7;2018;0
21;7;2019;0
21;7;2020;0
21;7;2021;0
