maakunta;year;peat_type;litter_type;ground;living_tree_litter;litter_source
4;2016;7;fine_woody_litter;below;0.06402892886327;living
4;2016;7;non-woody_litter;above;0.5806683666845;living
4;2017;1;fine_woody_litter;above;0.20700462690128;living
4;2017;1;fine_woody_litter;below;0.14904247964984;living
4;2017;1;non-woody_litter;above;0.8175110788755;living
4;2017;2;fine_woody_litter;above;0.215539423186546;living
4;2017;2;fine_woody_litter;below;0.146739261338889;living
4;2017;2;non-woody_litter;above;0.729432769758859;living
4;2017;4;fine_woody_litter;above;0.191564277945715;living
4;2017;4;fine_woody_litter;below;0.110689357862632;living
4;2017;4;non-woody_litter;above;0.618679098571833;living
4;2017;6;fine_woody_litter;above;0.15910088861228;living
4;2017;6;fine_woody_litter;below;0.08847311169529;living
4;2017;6;non-woody_litter;above;0.454274847788;living
4;2017;7;fine_woody_litter;above;0.12977625522835;living
4;2017;7;fine_woody_litter;below;0.06402892886327;living
4;2017;7;non-woody_litter;above;0.5806683666845;living
4;2018;1;fine_woody_litter;above;0.20700462690128;living
4;2018;1;fine_woody_litter;below;0.14904247964984;living
4;2018;1;non-woody_litter;above;0.8175110788755;living
4;2018;2;fine_woody_litter;above;0.215539423186546;living
4;2018;2;fine_woody_litter;below;0.146739261338889;living
4;2018;2;non-woody_litter;above;0.729432769758859;living
4;2018;4;fine_woody_litter;above;0.191564277945715;living
4;2018;4;fine_woody_litter;below;0.110689357862632;living
4;2018;4;non-woody_litter;above;0.618679098571833;living
4;2018;6;fine_woody_litter;above;0.15910088861228;living
4;2018;6;fine_woody_litter;below;0.08847311169529;living
4;2018;6;non-woody_litter;above;0.454274847788;living
4;2018;7;fine_woody_litter;above;0.12977625522835;living
4;2018;7;fine_woody_litter;below;0.06402892886327;living
4;2018;7;non-woody_litter;above;0.5806683666845;living
4;2019;1;fine_woody_litter;above;0.20700462690128;living
4;2019;1;fine_woody_litter;below;0.14904247964984;living
4;2019;1;non-woody_litter;above;0.8175110788755;living
4;2019;2;fine_woody_litter;above;0.215539423186546;living
4;2019;2;fine_woody_litter;below;0.146739261338889;living
4;2019;2;non-woody_litter;above;0.729432769758859;living
4;2019;4;fine_woody_litter;above;0.191564277945715;living
4;2019;4;fine_woody_litter;below;0.110689357862632;living
4;2019;4;non-woody_litter;above;0.618679098571833;living
4;2019;6;fine_woody_litter;above;0.15910088861228;living
4;2019;6;fine_woody_litter;below;0.08847311169529;living
4;2019;6;non-woody_litter;above;0.454274847788;living
4;2019;7;fine_woody_litter;above;0.12977625522835;living
4;2019;7;fine_woody_litter;below;0.06402892886327;living
4;2019;7;non-woody_litter;above;0.5806683666845;living
4;2020;1;fine_woody_litter;above;0.20700462690128;living
4;2020;1;fine_woody_litter;below;0.14904247964984;living
4;2020;1;non-woody_litter;above;0.8175110788755;living
4;2020;2;fine_woody_litter;above;0.215539423186546;living
4;2020;2;fine_woody_litter;below;0.146739261338889;living
4;2020;2;non-woody_litter;above;0.729432769758859;living
4;2020;4;fine_woody_litter;above;0.191564277945715;living
4;2020;4;fine_woody_litter;below;0.110689357862632;living
4;2020;4;non-woody_litter;above;0.618679098571833;living
4;2020;6;fine_woody_litter;above;0.15910088861228;living
4;2020;6;fine_woody_litter;below;0.08847311169529;living
4;2020;6;non-woody_litter;above;0.454274847788;living
4;2020;7;fine_woody_litter;above;0.12977625522835;living
4;2020;7;fine_woody_litter;below;0.06402892886327;living
4;2020;7;non-woody_litter;above;0.5806683666845;living
4;2021;1;fine_woody_litter;above;0.20700462690128;living
4;2021;1;fine_woody_litter;below;0.14904247964984;living
4;2021;1;non-woody_litter;above;0.8175110788755;living
4;2021;2;fine_woody_litter;above;0.215539423186546;living
4;2021;2;fine_woody_litter;below;0.146739261338889;living
4;2021;2;non-woody_litter;above;0.729432769758859;living
4;2021;4;fine_woody_litter;above;0.191564277945715;living
4;2021;4;fine_woody_litter;below;0.110689357862632;living
4;2021;4;non-woody_litter;above;0.618679098571833;living
4;2021;6;fine_woody_litter;above;0.15910088861228;living
4;2021;6;fine_woody_litter;below;0.08847311169529;living
4;2021;6;non-woody_litter;above;0.454274847788;living
4;2021;7;fine_woody_litter;above;0.12977625522835;living
4;2021;7;fine_woody_litter;below;0.06402892886327;living
4;2021;7;non-woody_litter;above;0.5806683666845;living
5;2015;1;fine_woody_litter;above;0.22251480138279;living
5;2015;1;fine_woody_litter;below;0.148905831654895;living
5;2015;1;non-woody_litter;above;0.793424556785;living
5;2015;2;fine_woody_litter;above;0.213851421341954;living
5;2015;2;fine_woody_litter;below;0.15775831067341;living
5;2015;2;non-woody_litter;above;0.73701663071503;living
5;2015;4;fine_woody_litter;above;0.215565553965877;living
5;2015;4;fine_woody_litter;below;0.136041709908576;living
5;2015;4;non-woody_litter;above;0.79536559217272;living
5;2015;6;fine_woody_litter;above;0.17477749790447;living
5;2015;6;fine_woody_litter;below;0.09076945235466;living
5;2015;6;non-woody_litter;above;0.469798608304;living
5;2015;7;fine_woody_litter;above;0;living
5;2015;7;fine_woody_litter;below;0;living
5;2015;7;non-woody_litter;above;0;living
5;2016;1;fine_woody_litter;above;0.22251480138279;living
5;2016;1;fine_woody_litter;below;0.148905831654895;living
5;2016;1;non-woody_litter;above;0.793424556785;living
5;2016;2;fine_woody_litter;above;0.213851421341954;living
5;2016;2;fine_woody_litter;below;0.15775831067341;living
5;2016;2;non-woody_litter;above;0.73701663071503;living
5;2016;4;fine_woody_litter;above;0.215565553965877;living
5;2016;4;fine_woody_litter;below;0.136041709908576;living
5;2016;4;non-woody_litter;above;0.79536559217272;living
5;2016;6;fine_woody_litter;above;0.17477749790447;living
5;2016;6;fine_woody_litter;below;0.09076945235466;living
5;2016;6;non-woody_litter;above;0.469798608304;living
5;2016;7;fine_woody_litter;above;0;living
5;2016;7;fine_woody_litter;below;0;living
5;2016;7;non-woody_litter;above;0;living
5;2017;1;fine_woody_litter;above;0.22251480138279;living
5;2017;1;fine_woody_litter;below;0.148905831654895;living
5;2017;1;non-woody_litter;above;0.793424556785;living
5;2017;2;fine_woody_litter;above;0.213851421341954;living
5;2017;2;fine_woody_litter;below;0.15775831067341;living
5;2017;2;non-woody_litter;above;0.73701663071503;living
5;2017;4;fine_woody_litter;above;0.215565553965877;living
5;2017;4;fine_woody_litter;below;0.136041709908576;living
5;2017;4;non-woody_litter;above;0.79536559217272;living
5;2017;6;fine_woody_litter;above;0.17477749790447;living
5;2017;6;fine_woody_litter;below;0.09076945235466;living
5;2017;6;non-woody_litter;above;0.469798608304;living
5;2017;7;fine_woody_litter;above;0;living
5;2017;7;fine_woody_litter;below;0;living
5;2017;7;non-woody_litter;above;0;living
5;2018;1;fine_woody_litter;above;0.22251480138279;living
5;2018;1;fine_woody_litter;below;0.148905831654895;living
5;2018;1;non-woody_litter;above;0.793424556785;living
5;2018;2;fine_woody_litter;above;0.213851421341954;living
5;2018;2;fine_woody_litter;below;0.15775831067341;living
5;2018;2;non-woody_litter;above;0.73701663071503;living
5;2018;4;fine_woody_litter;above;0.215565553965877;living
5;2018;4;fine_woody_litter;below;0.136041709908576;living
5;2018;4;non-woody_litter;above;0.79536559217272;living
5;2018;6;fine_woody_litter;above;0.17477749790447;living
5;2018;6;fine_woody_litter;below;0.09076945235466;living
5;2018;6;non-woody_litter;above;0.469798608304;living
5;2018;7;fine_woody_litter;above;0;living
5;2018;7;fine_woody_litter;below;0;living
5;2018;7;non-woody_litter;above;0;living
5;2019;1;fine_woody_litter;above;0.22251480138279;living
5;2019;1;fine_woody_litter;below;0.148905831654895;living
5;2019;1;non-woody_litter;above;0.793424556785;living
5;2019;2;fine_woody_litter;above;0.213851421341954;living
5;2019;2;fine_woody_litter;below;0.15775831067341;living
5;2019;2;non-woody_litter;above;0.73701663071503;living
5;2019;4;fine_woody_litter;above;0.215565553965877;living
5;2019;4;fine_woody_litter;below;0.136041709908576;living
5;2019;4;non-woody_litter;above;0.79536559217272;living
5;2019;6;fine_woody_litter;above;0.17477749790447;living
5;2019;6;fine_woody_litter;below;0.09076945235466;living
5;2019;6;non-woody_litter;above;0.469798608304;living
5;2019;7;fine_woody_litter;above;0;living
5;2019;7;fine_woody_litter;below;0;living
5;2019;7;non-woody_litter;above;0;living
5;2020;1;fine_woody_litter;above;0.22251480138279;living
5;2020;1;fine_woody_litter;below;0.148905831654895;living
5;2020;1;non-woody_litter;above;0.793424556785;living
5;2020;2;fine_woody_litter;above;0.213851421341954;living
5;2020;2;fine_woody_litter;below;0.15775831067341;living
5;2020;2;non-woody_litter;above;0.73701663071503;living
5;2020;4;fine_woody_litter;above;0.215565553965877;living
5;2020;4;fine_woody_litter;below;0.136041709908576;living
5;2020;4;non-woody_litter;above;0.79536559217272;living
5;2020;6;fine_woody_litter;above;0.17477749790447;living
5;2020;6;fine_woody_litter;below;0.09076945235466;living
5;2020;6;non-woody_litter;above;0.469798608304;living
5;2020;7;fine_woody_litter;above;0;living
5;2020;7;fine_woody_litter;below;0;living
5;2020;7;non-woody_litter;above;0;living
5;2021;1;fine_woody_litter;above;0.22251480138279;living
5;2021;1;fine_woody_litter;below;0.148905831654895;living
5;2021;1;non-woody_litter;above;0.793424556785;living
5;2021;2;fine_woody_litter;above;0.213851421341954;living
5;2021;2;fine_woody_litter;below;0.15775831067341;living
5;2021;2;non-woody_litter;above;0.73701663071503;living
5;2021;4;fine_woody_litter;above;0.215565553965877;living
5;2021;4;fine_woody_litter;below;0.136041709908576;living
5;2021;4;non-woody_litter;above;0.79536559217272;living
5;2021;6;fine_woody_litter;above;0.17477749790447;living
5;2021;6;fine_woody_litter;below;0.09076945235466;living
5;2021;6;non-woody_litter;above;0.469798608304;living
5;2021;7;fine_woody_litter;above;0;living
5;2021;7;fine_woody_litter;below;0;living
5;2021;7;non-woody_litter;above;0;living
6;2015;1;fine_woody_litter;above;0.191148905572865;living
6;2015;1;fine_woody_litter;below;0.13988476241295;living
6;2015;1;non-woody_litter;above;0.7680627886625;living
6;2015;2;fine_woody_litter;above;0.213941845969619;living
6;2015;2;fine_woody_litter;below;0.145274796007579;living
6;2015;2;non-woody_litter;above;0.719991176787631;living
6;2015;4;fine_woody_litter;above;0.193696912376768;living
6;2015;4;fine_woody_litter;below;0.114724762707301;living
6;2015;4;non-woody_litter;above;0.718562279355002;living
6;2015;6;fine_woody_litter;above;0.14290343195337;living
6;2015;6;fine_woody_litter;below;0.080303283667395;living
6;2015;6;non-woody_litter;above;0.4237370901105;living
6;2015;7;fine_woody_litter;above;0.04040203650979;living
6;2015;7;fine_woody_litter;below;0.017930391847905;living
6;2015;7;non-woody_litter;above;0.2676155220755;living
6;2016;1;fine_woody_litter;above;0.191148905572865;living
6;2016;1;fine_woody_litter;below;0.13988476241295;living
6;2016;1;non-woody_litter;above;0.7680627886625;living
6;2016;2;fine_woody_litter;above;0.213941845969619;living
6;2016;2;fine_woody_litter;below;0.145274796007579;living
6;2016;2;non-woody_litter;above;0.719991176787631;living
6;2016;4;fine_woody_litter;above;0.193696912376768;living
6;2016;4;fine_woody_litter;below;0.114724762707301;living
6;2016;4;non-woody_litter;above;0.718562279355002;living
6;2016;6;fine_woody_litter;above;0.14290343195337;living
6;2016;6;fine_woody_litter;below;0.080303283667395;living
6;2016;6;non-woody_litter;above;0.4237370901105;living
6;2016;7;fine_woody_litter;above;0.04040203650979;living
6;2016;7;fine_woody_litter;below;0.017930391847905;living
6;2016;7;non-woody_litter;above;0.2676155220755;living
6;2017;1;fine_woody_litter;above;0.191148905572865;living
6;2017;1;fine_woody_litter;below;0.13988476241295;living
6;2017;1;non-woody_litter;above;0.7680627886625;living
6;2017;2;fine_woody_litter;above;0.213941845969619;living
6;2017;2;fine_woody_litter;below;0.145274796007579;living
6;2017;2;non-woody_litter;above;0.719991176787631;living
6;2017;4;fine_woody_litter;above;0.193696912376768;living
6;2017;4;fine_woody_litter;below;0.114724762707301;living
6;2017;4;non-woody_litter;above;0.718562279355002;living
6;2017;6;fine_woody_litter;above;0.14290343195337;living
6;2017;6;fine_woody_litter;below;0.080303283667395;living
6;2017;6;non-woody_litter;above;0.4237370901105;living
6;2017;7;fine_woody_litter;above;0.04040203650979;living
6;2017;7;fine_woody_litter;below;0.017930391847905;living
6;2017;7;non-woody_litter;above;0.2676155220755;living
6;2018;1;fine_woody_litter;above;0.191148905572865;living
6;2018;1;fine_woody_litter;below;0.13988476241295;living
6;2018;1;non-woody_litter;above;0.7680627886625;living
6;2018;2;fine_woody_litter;above;0.213941845969619;living
6;2018;2;fine_woody_litter;below;0.145274796007579;living
6;2018;2;non-woody_litter;above;0.719991176787631;living
6;2018;4;fine_woody_litter;above;0.193696912376768;living
6;2018;4;fine_woody_litter;below;0.114724762707301;living
6;2018;4;non-woody_litter;above;0.718562279355002;living
6;2018;6;fine_woody_litter;above;0.14290343195337;living
6;2018;6;fine_woody_litter;below;0.080303283667395;living
6;2018;6;non-woody_litter;above;0.4237370901105;living
6;2018;7;fine_woody_litter;above;0.04040203650979;living
6;2018;7;fine_woody_litter;below;0.017930391847905;living
6;2018;7;non-woody_litter;above;0.2676155220755;living
6;2019;1;fine_woody_litter;above;0.191148905572865;living
6;2019;1;fine_woody_litter;below;0.13988476241295;living
6;2019;1;non-woody_litter;above;0.7680627886625;living
6;2019;2;fine_woody_litter;above;0.213941845969619;living
6;2019;2;fine_woody_litter;below;0.145274796007579;living
6;2019;2;non-woody_litter;above;0.719991176787631;living
6;2019;4;fine_woody_litter;above;0.193696912376768;living
6;2019;4;fine_woody_litter;below;0.114724762707301;living
6;2019;4;non-woody_litter;above;0.718562279355002;living
6;2019;6;fine_woody_litter;above;0.14290343195337;living
6;2019;6;fine_woody_litter;below;0.080303283667395;living
6;2019;6;non-woody_litter;above;0.4237370901105;living
6;2019;7;fine_woody_litter;above;0.04040203650979;living
6;2019;7;fine_woody_litter;below;0.017930391847905;living
6;2019;7;non-woody_litter;above;0.2676155220755;living
6;2020;1;fine_woody_litter;above;0.191148905572865;living
6;2020;1;fine_woody_litter;below;0.13988476241295;living
6;2020;1;non-woody_litter;above;0.7680627886625;living
6;2020;2;fine_woody_litter;above;0.213941845969619;living
6;2020;2;fine_woody_litter;below;0.145274796007579;living
6;2020;2;non-woody_litter;above;0.719991176787631;living
6;2020;4;fine_woody_litter;above;0.193696912376768;living
6;2020;4;fine_woody_litter;below;0.114724762707301;living
6;2020;4;non-woody_litter;above;0.718562279355002;living
6;2020;6;fine_woody_litter;above;0.14290343195337;living
6;2020;6;fine_woody_litter;below;0.080303283667395;living
6;2020;6;non-woody_litter;above;0.4237370901105;living
6;2020;7;fine_woody_litter;above;0.04040203650979;living
6;2020;7;fine_woody_litter;below;0.017930391847905;living
6;2020;7;non-woody_litter;above;0.2676155220755;living
6;2021;1;fine_woody_litter;above;0.191148905572865;living
6;2021;1;fine_woody_litter;below;0.13988476241295;living
6;2021;1;non-woody_litter;above;0.7680627886625;living
